gameID,teamName,season,date,location,cluster,pressure,result,awayGoals,homeGoals
93,Sunderland,2015,2015-08-15 18:00:00,h,0,Medium Pressure,L,Many Goals,Few Goals
93,Norwich,2015,2015-08-15 18:00:00,a,1,Medium Pressure,W,Many Goals,Few Goals
94,Swansea,2015,2015-08-15 18:00:00,h,1,High Pressure,W,No Goals,Many Goals
94,Newcastle United,2015,2015-08-15 18:00:00,a,0,Low Pressure,L,No Goals,Many Goals
95,Tottenham,2015,2015-08-15 18:00:00,h,0,Medium Pressure,D,Many Goals,Many Goals
95,Stoke,2015,2015-08-15 18:00:00,a,1,Medium Pressure,D,Many Goals,Many Goals
96,Watford,2015,2015-08-15 18:00:00,h,0,High Pressure,D,No Goals,No Goals
96,West Bromwich Albion,2015,2015-08-15 18:00:00,a,0,Medium Pressure,D,No Goals,No Goals
97,West Ham,2015,2015-08-15 18:00:00,h,0,High Pressure,L,Many Goals,Few Goals
97,Leicester,2015,2015-08-15 18:00:00,a,0,Low Pressure,W,Many Goals,Few Goals
98,Crystal Palace,2015,2015-08-16 16:30:00,h,0,Medium Pressure,L,Many Goals,Few Goals
98,Arsenal,2015,2015-08-16 16:30:00,a,1,High Pressure,W,Many Goals,Few Goals
99,Manchester City,2015,2015-08-16 19:00:00,h,1,High Pressure,W,No Goals,Many Goals
99,Chelsea,2015,2015-08-16 19:00:00,a,0,High Pressure,L,No Goals,Many Goals
100,Liverpool,2015,2015-08-17 23:00:00,h,1,High Pressure,W,No Goals,Few Goals
100,Bournemouth,2015,2015-08-17 23:00:00,a,0,Medium Pressure,L,No Goals,Few Goals
101,Manchester United,2015,2015-08-22 15:45:00,h,1,High Pressure,D,No Goals,No Goals
101,Newcastle United,2015,2015-08-22 15:45:00,a,0,Low Pressure,D,No Goals,No Goals
102,Norwich,2015,2015-08-22 18:00:00,h,1,Medium Pressure,D,Few Goals,Few Goals
102,Stoke,2015,2015-08-22 18:00:00,a,0,Medium Pressure,D,Few Goals,Few Goals
103,Sunderland,2015,2015-08-22 18:00:00,h,0,Medium Pressure,D,Few Goals,Few Goals
103,Swansea,2015,2015-08-22 18:00:00,a,1,Medium Pressure,D,Few Goals,Few Goals
104,Crystal Palace,2015,2015-08-22 18:00:00,h,1,Medium Pressure,W,Few Goals,Many Goals
104,Aston Villa,2015,2015-08-22 18:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
105,Leicester,2015,2015-08-22 18:00:00,h,0,Low Pressure,D,Few Goals,Few Goals
105,Tottenham,2015,2015-08-22 18:00:00,a,1,High Pressure,D,Few Goals,Few Goals
106,West Ham,2015,2015-08-22 18:00:00,h,0,Medium Pressure,L,Many Goals,Many Goals
106,Bournemouth,2015,2015-08-22 18:00:00,a,1,Medium Pressure,W,Many Goals,Many Goals
107,West Bromwich Albion,2015,2015-08-23 16:30:00,h,1,Low Pressure,L,Many Goals,Many Goals
107,Chelsea,2015,2015-08-23 16:30:00,a,1,Low Pressure,W,Many Goals,Many Goals
108,Everton,2015,2015-08-23 19:00:00,h,0,Low Pressure,L,Many Goals,No Goals
108,Manchester City,2015,2015-08-23 19:00:00,a,1,Medium Pressure,W,Many Goals,No Goals
109,Watford,2015,2015-08-23 19:00:00,h,0,Medium Pressure,D,No Goals,No Goals
109,Southampton,2015,2015-08-23 19:00:00,a,0,Medium Pressure,D,No Goals,No Goals
110,Arsenal,2015,2015-08-24 23:00:00,h,1,High Pressure,D,No Goals,No Goals
110,Liverpool,2015,2015-08-24 23:00:00,a,1,Medium Pressure,D,No Goals,No Goals
111,Newcastle United,2015,2015-08-29 15:45:00,h,0,Low Pressure,L,Few Goals,No Goals
111,Arsenal,2015,2015-08-29 15:45:00,a,1,High Pressure,W,Few Goals,No Goals
112,Stoke,2015,2015-08-29 18:00:00,h,0,Low Pressure,L,Few Goals,No Goals
112,West Bromwich Albion,2015,2015-08-29 18:00:00,a,0,Medium Pressure,W,Few Goals,No Goals
113,Aston Villa,2015,2015-08-29 18:00:00,h,1,Medium Pressure,D,Many Goals,Many Goals
113,Sunderland,2015,2015-08-29 18:00:00,a,0,Medium Pressure,D,Many Goals,Many Goals
114,Bournemouth,2015,2015-08-29 18:00:00,h,0,Medium Pressure,D,Few Goals,Few Goals
114,Leicester,2015,2015-08-29 18:00:00,a,0,High Pressure,D,Few Goals,Few Goals
115,Chelsea,2015,2015-08-29 18:00:00,h,1,Medium Pressure,L,Many Goals,Few Goals
115,Crystal Palace,2015,2015-08-29 18:00:00,a,1,Low Pressure,W,Many Goals,Few Goals
116,Liverpool,2015,2015-08-29 18:00:00,h,0,High Pressure,L,Many Goals,No Goals
116,West Ham,2015,2015-08-29 18:00:00,a,0,Low Pressure,W,Many Goals,No Goals
117,Manchester City,2015,2015-08-29 18:00:00,h,1,Medium Pressure,W,No Goals,Many Goals
117,Watford,2015,2015-08-29 18:00:00,a,0,Low Pressure,L,No Goals,Many Goals
118,Tottenham,2015,2015-08-29 20:30:00,h,1,Medium Pressure,D,No Goals,No Goals
118,Everton,2015,2015-08-29 20:30:00,a,0,Low Pressure,D,No Goals,No Goals
119,Southampton,2015,2015-08-30 16:30:00,h,1,Medium Pressure,W,No Goals,Many Goals
119,Norwich,2015,2015-08-30 16:30:00,a,0,Low Pressure,L,No Goals,Many Goals
120,Swansea,2015,2015-08-30 19:00:00,h,0,Low Pressure,W,Few Goals,Many Goals
120,Manchester United,2015,2015-08-30 19:00:00,a,0,High Pressure,L,Few Goals,Many Goals
121,Everton,2015,2015-09-12 15:45:00,h,1,Low Pressure,W,Few Goals,Many Goals
121,Chelsea,2015,2015-09-12 15:45:00,a,0,Medium Pressure,L,Few Goals,Many Goals
122,Arsenal,2015,2015-09-12 18:00:00,h,1,High Pressure,W,No Goals,Many Goals
122,Stoke,2015,2015-09-12 18:00:00,a,0,Low Pressure,L,No Goals,Many Goals
123,Crystal Palace,2015,2015-09-12 18:00:00,h,0,Medium Pressure,L,Few Goals,No Goals
123,Manchester City,2015,2015-09-12 18:00:00,a,1,Medium Pressure,W,Few Goals,No Goals
124,Watford,2015,2015-09-12 18:00:00,h,0,Medium Pressure,W,No Goals,Few Goals
124,Swansea,2015,2015-09-12 18:00:00,a,0,High Pressure,L,No Goals,Few Goals
125,West Bromwich Albion,2015,2015-09-12 18:00:00,h,0,Low Pressure,D,No Goals,No Goals
125,Southampton,2015,2015-09-12 18:00:00,a,0,Medium Pressure,D,No Goals,No Goals
126,Norwich,2015,2015-09-12 18:00:00,h,0,Medium Pressure,W,Few Goals,Many Goals
126,Bournemouth,2015,2015-09-12 18:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
127,Manchester United,2015,2015-09-12 20:30:00,h,0,Medium Pressure,W,Few Goals,Many Goals
127,Liverpool,2015,2015-09-12 20:30:00,a,0,Low Pressure,L,Few Goals,Many Goals
128,Sunderland,2015,2015-09-13 16:30:00,h,0,Low Pressure,L,Few Goals,No Goals
128,Tottenham,2015,2015-09-13 16:30:00,a,1,High Pressure,W,Few Goals,No Goals
129,Leicester,2015,2015-09-13 19:00:00,h,1,Medium Pressure,W,Many Goals,Many Goals
129,Aston Villa,2015,2015-09-13 19:00:00,a,0,Medium Pressure,L,Many Goals,Many Goals
130,West Ham,2015,2015-09-14 23:00:00,h,1,Medium Pressure,W,No Goals,Many Goals
130,Newcastle United,2015,2015-09-14 23:00:00,a,0,Medium Pressure,L,No Goals,Many Goals
131,Chelsea,2015,2015-09-19 15:45:00,h,1,High Pressure,W,No Goals,Many Goals
131,Arsenal,2015,2015-09-19 15:45:00,a,0,Low Pressure,L,No Goals,Many Goals
132,Newcastle United,2015,2015-09-19 18:00:00,h,0,Medium Pressure,L,Many Goals,Few Goals
132,Watford,2015,2015-09-19 18:00:00,a,0,Medium Pressure,W,Many Goals,Few Goals
133,Aston Villa,2015,2015-09-19 18:00:00,h,0,High Pressure,L,Few Goals,No Goals
133,West Bromwich Albion,2015,2015-09-19 18:00:00,a,0,Medium Pressure,W,Few Goals,No Goals
134,Bournemouth,2015,2015-09-19 18:00:00,h,0,Medium Pressure,W,No Goals,Many Goals
134,Sunderland,2015,2015-09-19 18:00:00,a,0,Medium Pressure,L,No Goals,Many Goals
135,Stoke,2015,2015-09-19 18:00:00,h,0,High Pressure,D,Many Goals,Many Goals
135,Leicester,2015,2015-09-19 18:00:00,a,0,High Pressure,D,Many Goals,Many Goals
136,Swansea,2015,2015-09-19 18:00:00,h,0,Medium Pressure,D,No Goals,No Goals
136,Everton,2015,2015-09-19 18:00:00,a,0,Medium Pressure,D,No Goals,No Goals
137,Manchester City,2015,2015-09-19 20:30:00,h,1,High Pressure,L,Many Goals,Few Goals
137,West Ham,2015,2015-09-19 20:30:00,a,0,Low Pressure,W,Many Goals,Few Goals
138,Tottenham,2015,2015-09-20 16:30:00,h,1,High Pressure,W,No Goals,Few Goals
138,Crystal Palace,2015,2015-09-20 16:30:00,a,0,Medium Pressure,L,No Goals,Few Goals
139,Southampton,2015,2015-09-20 19:00:00,h,1,Low Pressure,L,Many Goals,Many Goals
139,Manchester United,2015,2015-09-20 19:00:00,a,0,Low Pressure,W,Many Goals,Many Goals
140,Liverpool,2015,2015-09-20 19:00:00,h,1,Medium Pressure,D,Few Goals,Few Goals
140,Norwich,2015,2015-09-20 19:00:00,a,0,Low Pressure,D,Few Goals,Few Goals
141,Tottenham,2015,2015-09-26 15:45:00,h,1,High Pressure,W,Few Goals,Many Goals
141,Manchester City,2015,2015-09-26 15:45:00,a,1,Medium Pressure,L,Few Goals,Many Goals
142,Southampton,2015,2015-09-26 18:00:00,h,1,Medium Pressure,W,Few Goals,Many Goals
142,Swansea,2015,2015-09-26 18:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
143,Stoke,2015,2015-09-26 18:00:00,h,0,Medium Pressure,W,Few Goals,Many Goals
143,Bournemouth,2015,2015-09-26 18:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
144,Leicester,2015,2015-09-26 18:00:00,h,1,Medium Pressure,L,Many Goals,Many Goals
144,Arsenal,2015,2015-09-26 18:00:00,a,1,High Pressure,W,Many Goals,Many Goals
145,Liverpool,2015,2015-09-26 18:00:00,h,1,Medium Pressure,W,Many Goals,Many Goals
145,Aston Villa,2015,2015-09-26 18:00:00,a,0,Low Pressure,L,Many Goals,Many Goals
146,Manchester United,2015,2015-09-26 18:00:00,h,1,High Pressure,W,No Goals,Many Goals
146,Sunderland,2015,2015-09-26 18:00:00,a,0,Low Pressure,L,No Goals,Many Goals
147,West Ham,2015,2015-09-26 18:00:00,h,1,Medium Pressure,D,Many Goals,Many Goals
147,Norwich,2015,2015-09-26 18:00:00,a,1,High Pressure,D,Many Goals,Many Goals
148,Newcastle United,2015,2015-09-26 20:30:00,h,0,Medium Pressure,D,Many Goals,Many Goals
148,Chelsea,2015,2015-09-26 20:30:00,a,0,High Pressure,D,Many Goals,Many Goals
149,Watford,2015,2015-09-27 19:00:00,h,0,Medium Pressure,L,Few Goals,No Goals
149,Crystal Palace,2015,2015-09-27 19:00:00,a,0,Medium Pressure,W,Few Goals,No Goals
150,West Bromwich Albion,2015,2015-09-28 23:00:00,h,0,Medium Pressure,L,Many Goals,Many Goals
150,Everton,2015,2015-09-28 23:00:00,a,0,Medium Pressure,W,Many Goals,Many Goals
151,Crystal Palace,2015,2015-10-03 15:45:00,h,1,High Pressure,W,No Goals,Many Goals
151,West Bromwich Albion,2015,2015-10-03 15:45:00,a,0,Medium Pressure,L,No Goals,Many Goals
152,Aston Villa,2015,2015-10-03 18:00:00,h,0,Medium Pressure,L,Few Goals,No Goals
152,Stoke,2015,2015-10-03 18:00:00,a,0,Medium Pressure,W,Few Goals,No Goals
153,Bournemouth,2015,2015-10-03 18:00:00,h,0,Medium Pressure,D,Few Goals,Few Goals
153,Watford,2015,2015-10-03 18:00:00,a,0,Medium Pressure,D,Few Goals,Few Goals
154,Manchester City,2015,2015-10-03 18:00:00,h,1,High Pressure,W,Few Goals,Many Goals
154,Newcastle United,2015,2015-10-03 18:00:00,a,0,Low Pressure,L,Few Goals,Many Goals
155,Norwich,2015,2015-10-03 18:00:00,h,1,Medium Pressure,L,Many Goals,Few Goals
155,Leicester,2015,2015-10-03 18:00:00,a,1,Medium Pressure,W,Many Goals,Few Goals
156,Sunderland,2015,2015-10-03 18:00:00,h,0,Low Pressure,D,Many Goals,Many Goals
156,West Ham,2015,2015-10-03 18:00:00,a,1,Medium Pressure,D,Many Goals,Many Goals
157,Chelsea,2015,2015-10-03 20:30:00,h,0,Medium Pressure,L,Many Goals,Few Goals
157,Southampton,2015,2015-10-03 20:30:00,a,0,Low Pressure,W,Many Goals,Few Goals
158,Everton,2015,2015-10-04 16:30:00,h,0,Low Pressure,D,Few Goals,Few Goals
158,Liverpool,2015,2015-10-04 16:30:00,a,0,High Pressure,D,Few Goals,Few Goals
159,Swansea,2015,2015-10-04 19:00:00,h,0,Low Pressure,D,Many Goals,Many Goals
159,Tottenham,2015,2015-10-04 19:00:00,a,1,Medium Pressure,D,Many Goals,Many Goals
160,Arsenal,2015,2015-10-04 19:00:00,h,1,Low Pressure,W,No Goals,Many Goals
160,Manchester United,2015,2015-10-04 19:00:00,a,0,High Pressure,L,No Goals,Many Goals
161,Tottenham,2015,2015-10-17 15:45:00,h,0,High Pressure,D,No Goals,No Goals
161,Liverpool,2015,2015-10-17 15:45:00,a,0,Medium Pressure,D,No Goals,No Goals
162,Southampton,2015,2015-10-17 18:00:00,h,0,Medium Pressure,D,Many Goals,Many Goals
162,Leicester,2015,2015-10-17 18:00:00,a,1,High Pressure,D,Many Goals,Many Goals
163,West Bromwich Albion,2015,2015-10-17 18:00:00,h,0,Medium Pressure,W,No Goals,Few Goals
163,Sunderland,2015,2015-10-17 18:00:00,a,0,Medium Pressure,L,No Goals,Few Goals
164,Chelsea,2015,2015-10-17 18:00:00,h,0,High Pressure,W,No Goals,Many Goals
164,Aston Villa,2015,2015-10-17 18:00:00,a,0,Medium Pressure,L,No Goals,Many Goals
165,Crystal Palace,2015,2015-10-17 18:00:00,h,0,Low Pressure,L,Many Goals,Few Goals
165,West Ham,2015,2015-10-17 18:00:00,a,1,Medium Pressure,W,Many Goals,Few Goals
166,Everton,2015,2015-10-17 18:00:00,h,0,Medium Pressure,L,Many Goals,No Goals
166,Manchester United,2015,2015-10-17 18:00:00,a,0,Medium Pressure,W,Many Goals,No Goals
167,Manchester City,2015,2015-10-17 18:00:00,h,1,Low Pressure,W,Few Goals,Many Goals
167,Bournemouth,2015,2015-10-17 18:00:00,a,0,Low Pressure,L,Few Goals,Many Goals
168,Watford,2015,2015-10-17 20:30:00,h,0,Medium Pressure,L,Many Goals,No Goals
168,Arsenal,2015,2015-10-17 20:30:00,a,1,High Pressure,W,Many Goals,No Goals
169,Newcastle United,2015,2015-10-18 19:00:00,h,1,Low Pressure,W,Many Goals,Many Goals
169,Norwich,2015,2015-10-18 19:00:00,a,1,Medium Pressure,L,Many Goals,Many Goals
170,Swansea,2015,2015-10-19 23:00:00,h,0,Low Pressure,L,Few Goals,No Goals
170,Stoke,2015,2015-10-19 23:00:00,a,0,Low Pressure,W,Few Goals,No Goals
171,Aston Villa,2015,2015-10-24 18:00:00,h,0,Medium Pressure,L,Many Goals,Few Goals
171,Swansea,2015,2015-10-24 18:00:00,a,0,High Pressure,W,Many Goals,Few Goals
172,Leicester,2015,2015-10-24 18:00:00,h,0,Low Pressure,W,No Goals,Few Goals
172,Crystal Palace,2015,2015-10-24 18:00:00,a,0,Medium Pressure,L,No Goals,Few Goals
173,West Ham,2015,2015-10-24 18:00:00,h,0,Medium Pressure,W,Few Goals,Many Goals
173,Chelsea,2015,2015-10-24 18:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
174,Norwich,2015,2015-10-24 18:00:00,h,0,Medium Pressure,L,Few Goals,No Goals
174,West Bromwich Albion,2015,2015-10-24 18:00:00,a,0,Low Pressure,W,Few Goals,No Goals
175,Stoke,2015,2015-10-24 18:00:00,h,0,Medium Pressure,L,Many Goals,No Goals
175,Watford,2015,2015-10-24 18:00:00,a,0,Low Pressure,W,Many Goals,No Goals
176,Arsenal,2015,2015-10-24 20:30:00,h,1,High Pressure,W,Few Goals,Many Goals
176,Everton,2015,2015-10-24 20:30:00,a,0,Medium Pressure,L,Few Goals,Many Goals
177,Sunderland,2015,2015-10-25 16:00:00,h,0,Low Pressure,W,No Goals,Many Goals
177,Newcastle United,2015,2015-10-25 16:00:00,a,1,Medium Pressure,L,No Goals,Many Goals
178,Bournemouth,2015,2015-10-25 18:05:00,h,0,Low Pressure,L,Many Goals,Few Goals
178,Tottenham,2015,2015-10-25 18:05:00,a,1,High Pressure,W,Many Goals,Few Goals
179,Manchester United,2015,2015-10-25 18:05:00,h,0,High Pressure,D,No Goals,No Goals
179,Manchester City,2015,2015-10-25 18:05:00,a,0,Medium Pressure,D,No Goals,No Goals
180,Liverpool,2015,2015-10-25 20:15:00,h,0,Medium Pressure,D,Few Goals,Few Goals
180,Southampton,2015,2015-10-25 20:15:00,a,0,Medium Pressure,D,Few Goals,Few Goals
181,Chelsea,2015,2015-10-31 16:45:00,h,0,Medium Pressure,L,Many Goals,Few Goals
181,Liverpool,2015,2015-10-31 16:45:00,a,1,High Pressure,W,Many Goals,Few Goals
182,Crystal Palace,2015,2015-10-31 19:00:00,h,0,Medium Pressure,D,No Goals,No Goals
182,Manchester United,2015,2015-10-31 19:00:00,a,0,Medium Pressure,D,No Goals,No Goals
183,Manchester City,2015,2015-10-31 19:00:00,h,1,Medium Pressure,W,Few Goals,Many Goals
183,Norwich,2015,2015-10-31 19:00:00,a,0,Low Pressure,L,Few Goals,Many Goals
184,Newcastle United,2015,2015-10-31 19:00:00,h,0,Low Pressure,D,No Goals,No Goals
184,Stoke,2015,2015-10-31 19:00:00,a,0,Medium Pressure,D,No Goals,No Goals
185,Swansea,2015,2015-10-31 19:00:00,h,0,Medium Pressure,L,Many Goals,No Goals
185,Arsenal,2015,2015-10-31 19:00:00,a,1,Low Pressure,W,Many Goals,No Goals
186,Watford,2015,2015-10-31 19:00:00,h,1,Medium Pressure,W,No Goals,Many Goals
186,West Ham,2015,2015-10-31 19:00:00,a,0,Medium Pressure,L,No Goals,Many Goals
187,West Bromwich Albion,2015,2015-10-31 19:00:00,h,1,Low Pressure,L,Many Goals,Many Goals
187,Leicester,2015,2015-10-31 19:00:00,a,0,High Pressure,W,Many Goals,Many Goals
188,Everton,2015,2015-11-01 17:30:00,h,1,Low Pressure,W,Many Goals,Many Goals
188,Sunderland,2015,2015-11-01 17:30:00,a,1,Low Pressure,L,Many Goals,Many Goals
189,Southampton,2015,2015-11-01 20:00:00,h,0,Low Pressure,W,No Goals,Many Goals
189,Bournemouth,2015,2015-11-01 20:00:00,a,0,Low Pressure,L,No Goals,Many Goals
190,Tottenham,2015,2015-11-03 00:00:00,h,1,High Pressure,W,Few Goals,Many Goals
190,Aston Villa,2015,2015-11-03 00:00:00,a,0,Low Pressure,L,Few Goals,Many Goals
191,Bournemouth,2015,2015-11-07 16:45:00,h,1,High Pressure,L,Few Goals,No Goals
191,Newcastle United,2015,2015-11-07 16:45:00,a,0,Low Pressure,W,Few Goals,No Goals
192,Leicester,2015,2015-11-07 19:00:00,h,0,Medium Pressure,W,Few Goals,Many Goals
192,Watford,2015,2015-11-07 19:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
193,Manchester United,2015,2015-11-07 19:00:00,h,1,Medium Pressure,W,No Goals,Many Goals
193,West Bromwich Albion,2015,2015-11-07 19:00:00,a,0,Low Pressure,L,No Goals,Many Goals
194,Norwich,2015,2015-11-07 19:00:00,h,0,Low Pressure,W,No Goals,Few Goals
194,Swansea,2015,2015-11-07 19:00:00,a,0,Medium Pressure,L,No Goals,Few Goals
195,West Ham,2015,2015-11-07 19:00:00,h,0,Low Pressure,D,Few Goals,Few Goals
195,Everton,2015,2015-11-07 19:00:00,a,0,Low Pressure,D,Few Goals,Few Goals
196,Sunderland,2015,2015-11-07 19:00:00,h,0,Low Pressure,L,Few Goals,No Goals
196,Southampton,2015,2015-11-07 19:00:00,a,1,Medium Pressure,W,Few Goals,No Goals
197,Stoke,2015,2015-11-07 21:30:00,h,0,Low Pressure,W,No Goals,Few Goals
197,Chelsea,2015,2015-11-07 21:30:00,a,1,High Pressure,L,No Goals,Few Goals
198,Aston Villa,2015,2015-11-08 17:30:00,h,0,Low Pressure,D,No Goals,No Goals
198,Manchester City,2015,2015-11-08 17:30:00,a,0,High Pressure,D,No Goals,No Goals
199,Arsenal,2015,2015-11-08 20:00:00,h,1,High Pressure,D,Few Goals,Few Goals
199,Tottenham,2015,2015-11-08 20:00:00,a,0,Medium Pressure,D,Few Goals,Few Goals
200,Liverpool,2015,2015-11-08 20:00:00,h,1,High Pressure,L,Many Goals,Few Goals
200,Crystal Palace,2015,2015-11-08 20:00:00,a,0,Medium Pressure,W,Many Goals,Few Goals
201,Watford,2015,2015-11-21 16:45:00,h,0,Medium Pressure,L,Many Goals,Few Goals
201,Manchester United,2015,2015-11-21 16:45:00,a,1,High Pressure,W,Many Goals,Few Goals
202,Swansea,2015,2015-11-21 19:00:00,h,0,Medium Pressure,D,Many Goals,Many Goals
202,Bournemouth,2015,2015-11-21 19:00:00,a,1,Medium Pressure,D,Many Goals,Many Goals
203,Southampton,2015,2015-11-21 19:00:00,h,0,Medium Pressure,L,Few Goals,No Goals
203,Stoke,2015,2015-11-21 19:00:00,a,0,Low Pressure,W,Few Goals,No Goals
204,West Bromwich Albion,2015,2015-11-21 19:00:00,h,0,Low Pressure,W,Few Goals,Many Goals
204,Arsenal,2015,2015-11-21 19:00:00,a,0,High Pressure,L,Few Goals,Many Goals
205,Newcastle United,2015,2015-11-21 19:00:00,h,0,Medium Pressure,L,Many Goals,No Goals
205,Leicester,2015,2015-11-21 19:00:00,a,1,Medium Pressure,W,Many Goals,No Goals
206,Everton,2015,2015-11-21 19:00:00,h,1,Medium Pressure,W,No Goals,Many Goals
206,Aston Villa,2015,2015-11-21 19:00:00,a,0,Low Pressure,L,No Goals,Many Goals
207,Chelsea,2015,2015-11-21 19:00:00,h,1,High Pressure,W,No Goals,Few Goals
207,Norwich,2015,2015-11-21 19:00:00,a,0,Low Pressure,L,No Goals,Few Goals
208,Manchester City,2015,2015-11-21 21:30:00,h,1,Medium Pressure,L,Many Goals,Few Goals
208,Liverpool,2015,2015-11-21 21:30:00,a,1,Medium Pressure,W,Many Goals,Few Goals
209,Tottenham,2015,2015-11-22 20:00:00,h,1,High Pressure,W,Few Goals,Many Goals
209,West Ham,2015,2015-11-22 20:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
210,Crystal Palace,2015,2015-11-24 00:00:00,h,1,High Pressure,L,Few Goals,No Goals
210,Sunderland,2015,2015-11-24 00:00:00,a,0,Low Pressure,W,Few Goals,No Goals
211,Sunderland,2015,2015-11-28 19:00:00,h,1,Medium Pressure,W,No Goals,Many Goals
211,Stoke,2015,2015-11-28 19:00:00,a,0,Low Pressure,L,No Goals,Many Goals
212,Aston Villa,2015,2015-11-28 19:00:00,h,1,High Pressure,L,Many Goals,Many Goals
212,Watford,2015,2015-11-28 19:00:00,a,1,Medium Pressure,W,Many Goals,Many Goals
213,Bournemouth,2015,2015-11-28 19:00:00,h,1,High Pressure,D,Many Goals,Many Goals
213,Everton,2015,2015-11-28 19:00:00,a,0,Low Pressure,D,Many Goals,Many Goals
214,Crystal Palace,2015,2015-11-28 19:00:00,h,1,Medium Pressure,W,Few Goals,Many Goals
214,Newcastle United,2015,2015-11-28 19:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
215,Manchester City,2015,2015-11-28 19:00:00,h,1,Medium Pressure,W,Few Goals,Many Goals
215,Southampton,2015,2015-11-28 19:00:00,a,0,Medium Pressure,L,Few Goals,Many Goals
216,Leicester,2015,2015-11-28 21:30:00,h,0,Low Pressure,D,Few Goals,Few Goals
216,Manchester United,2015,2015-11-28 21:30:00,a,0,High Pressure,D,Few Goals,Few Goals
217,Tottenham,2015,2015-11-29 16:00:00,h,0,Medium Pressure,D,No Goals,No Goals
217,Chelsea,2015,2015-11-29 16:00:00,a,0,Medium Pressure,D,No Goals,No Goals
218,West Ham,2015,2015-11-29 18:05:00,h,1,High Pressure,D,Few Goals,Few Goals
218,West Bromwich Albion,2015,2015-11-29 18:05:00,a,0,Medium Pressure,D,Few Goals,Few Goals
219,Liverpool,2015,2015-11-29 20:15:00,h,0,High Pressure,W,No Goals,Few Goals
219,Swansea,2015,2015-11-29 20:15:00,a,0,Low Pressure,L,No Goals,Few Goals
220,Norwich,2015,2015-11-29 20:15:00,h,0,Low Pressure,D,Few Goals,Few Goals
220,Arsenal,2015,2015-11-29 20:15:00,a,0,Medium Pressure,D,Few Goals,Few Goals
221,Stoke,2015,2015-12-05 16:45:00,h,0,High Pressure,W,No Goals,Many Goals
221,Manchester City,2015,2015-12-05 16:45:00,a,0,High Pressure,L,No Goals,Many Goals
222,Swansea,2015,2015-12-05 19:00:00,h,0,Medium Pressure,L,Many Goals,No Goals
222,Leicester,2015,2015-12-05 19:00:00,a,1,Low Pressure,W,Many Goals,No Goals
223,Watford,2015,2015-12-05 19:00:00,h,1,Medium Pressure,W,No Goals,Many Goals
223,Norwich,2015,2015-12-05 19:00:00,a,0,Low Pressure,L,No Goals,Many Goals
