K,Inertia,Silhouette_Score,Davies_Bouldin_Index,Dunn_Index
2,327.7849786217847,0.5420909132071429,0.6680780825000457,0.7027320379883478
3,238.03682391707127,0.31474104010891285,1.0565327901368775,0.32848528220252604
4,197.27224148879273,0.2844404147056865,1.0908799846748702,0.3441095295545642
5,164.54642781145304,0.29209284288274184,1.0536225417762246,0.40271199918272266
6,143.83850382967137,0.2610533231053737,1.0827421115776226,0.2953731304363032
7,127.01529075961408,0.27245552385025706,1.0069306364489268,0.3758686757679605
8,116.3010309251863,0.2421966076229157,1.1098252980882806,0.3667001750178436
9,107.42421225405795,0.24506562339393126,1.103900105187667,0.36798221836221434
10,99.70760316191182,0.22356146352496375,1.1302132245314507,0.4157694639120101
